time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate,TMP_ground_surface
2009/06/15 18:00:00,0.0,397.4668734361087,815.0,101935.90000000001,0.0037726725172290503,289.84999999999997,4.758162,0.0,0.0,297.04999999999995
2009/06/15 19:00:00,0.0,398.7685135657841,764.4,101926.9,0.003942357384792237,289.97999999999996,4.713647,0.0,0.0,296.75
2009/06/15 20:00:00,0.0,380.799057101267,168.5,101968.2,0.005303488638408963,286.2,8.069445,0.0,0.0,287.58
2009/06/15 21:00:00,0.254,383.83003343479595,287.3,102054.5,0.007651769917504241,286.03999999999996,5.967435,0.0,0.0,288.33
2009/06/15 22:00:00,0.0,368.72716879270666,432.8,102072.0,0.004279824854478416,284.45,4.527354,0.0,0.0,288.85999999999996
2009/06/15 23:00:00,0.0,383.93396995613205,547.1,101973.1,0.004970889120429912,286.89,5.828578,0.0,0.0,291.96999999999997
2009/06/16 00:00:00,0.0,380.6698349196844,370.9,102022.0,0.005111172529746557,286.25,8.635125,0.0,0.0,288.53
2009/06/16 01:00:00,0.0,366.6297190402096,93.3,101998.6,0.004702570088135144,283.87,5.357854,0.0,0.0,284.71999999999997
2009/06/16 02:00:00,0.0,365.78146937357485,68.14,101995.4,0.005096588171622153,283.54999999999995,3.32741,0.0,0.0,282.28999999999996
2009/06/16 03:00:00,0.0,358.50297212698325,1.822,102097.6,0.004652279723193507,282.38,5.41503,0.0,0.0,280.81199999999995
2009/06/16 04:00:00,0.0,359.80465377786993,0.0,102105.7,0.004845986318293054,282.53999999999996,2.82053,0.0,0.0,281.28
2009/06/16 05:00:00,0.0,352.86145190684346,0.0,102110.2,0.004643605410095466,281.32,3.060223,0.0,0.0,279.251
2009/06/16 06:00:00,0.0,353.6036741960857,0.0,102082.5,0.0046013665775636245,281.47999999999996,1.493761,0.0,0.0,278.08799999999997
2009/06/16 07:00:00,0.0,348.1924546425542,0.0,102062.90000000001,0.004954812643103728,280.299,1.553928,0.0,0.0,277.626
2009/06/16 08:00:00,0.0,347.54008303881017,0.0,102047.6,0.00436286171765723,280.435,1.551615,0.0,0.0,276.931
2009/06/16 09:00:00,0.0,347.0205805963016,0.0,102038.7,0.0044854001286915015,280.27799999999996,3.110836,0.0,0.0,277.745
2009/06/16 10:00:00,0.0,338.9727276084722,0.0,102071.1,0.004568395430927149,278.67999999999995,3.292035,0.0,0.0,276.941
2009/06/16 11:00:00,0.0,335.67238476758615,0.0,102074.40000000001,0.004382247247672184,278.118,3.334707,0.0,0.0,276.56399999999996
2009/06/16 12:00:00,0.0,337.31528313037603,20.38,102148.90000000001,0.003967273771561055,278.64799999999997,1.722785,0.0,0.0,276.726
2009/06/16 13:00:00,0.0,348.6465327039376,38.83,102087.3,0.00477593884187625,280.46,2.123984,0.0,0.0,277.78099999999995
2009/06/16 14:00:00,0.0,364.3972298749027,362.9,102091.6,0.004558396372817828,283.52,4.193593,0.0,0.0,284.34999999999997
2009/06/16 15:00:00,0.0,377.0177332931647,560.9,102152.9,0.004397582929547562,285.9,4.589359,0.0,0.0,290.51
2009/06/16 16:00:00,0.0,387.4132225933424,716.5,102163.2,0.004561370306236669,287.67999999999995,3.856575,0.0,0.0,296.16999999999996
2009/06/16 17:00:00,0.0,395.94272871667874,838.0,102137.90000000001,0.004340253797238821,289.28,4.92581,0.0,0.0,299.58
2009/06/16 18:00:00,0.0,402.6078168288181,940.0,102159.40000000001,0.003955032373927905,290.63,4.833122,0.0,0.0,302.79999999999995
2009/06/16 19:00:00,0.0,410.920127666481,828.0,102100.59999999999,0.004338302151814679,291.84999999999997,4.950251,0.0,0.0,302.58
2009/06/16 20:00:00,0.0,411.38248241769816,569.0,102092.7,0.004545871653860247,291.83,4.393788,0.0,0.0,298.46999999999997
2009/06/16 21:00:00,0.0,408.7139704328987,500.5,102103.4,0.004434199499360425,291.42999999999995,2.525823,0.0,0.0,297.60999999999996
2009/06/16 22:00:00,0.0,416.969123853169,639.8,102087.90000000001,0.004292610185156417,292.89,5.608383,0.0,0.0,299.37
2009/06/16 23:00:00,0.0,403.20599851952454,130.0,102153.0,0.0054968795316809715,290.04999999999995,5.267437,0.0,0.0,291.2
2009/06/17 00:00:00,0.0,399.368508220438,175.7,102212.0,0.004513709037111595,289.78999999999996,3.180364,0.0,0.0,291.21999999999997
2009/06/17 01:00:00,0.0,395.9751584938627,119.0,102213.8,0.005639289657714489,288.75,5.250613,0.0,0.0,288.81
2009/06/17 02:00:00,0.0,387.74012434912333,108.5,102241.09999999999,0.0054621129321903075,287.37,3.689219,0.0,0.0,287.71
2009/06/17 03:00:00,0.0,379.0001858785224,1.036,102223.8,0.00533655609981171,285.85999999999996,2.637403,0.0,0.0,284.79999999999995
2009/06/17 04:00:00,0.0,375.57557620624414,0.001,102258.7,0.005056909143042523,285.34999999999997,1.63,0.0,0.0,283.71
2009/06/17 05:00:00,0.0,372.2608909289835,0.001,102247.1,0.005392263537507982,284.62,1.557019,0.0,0.0,281.96999999999997
2009/06/17 06:00:00,0.0,372.4348006471906,0.0,102201.8,0.0060411845689230925,284.42999999999995,1.732897,0.0,0.0,282.21
2009/06/17 07:00:00,0.0,370.7284472613574,0.0,102203.09999999999,0.005132645217520835,284.44,1.587326,0.0,0.0,282.91999999999996
2009/06/17 08:00:00,0.0,362.8026283352302,0.0,102153.9,0.00484008244017115,283.09999999999997,1.433705,0.0,0.0,282.34999999999997
2009/06/17 09:00:00,0.0,366.1808661799541,0.001,102203.09999999999,0.0052766572558170044,283.54999999999995,1.503733,0.0,0.0,282.04999999999995
2009/06/17 10:00:00,0.0,366.98344834853185,0.0,102121.1,0.00442200411517726,284.06,1.790475,0.0,0.0,282.16999999999996
2009/06/17 11:00:00,0.0,362.69045989262764,0.001,102210.79999999999,0.005030025801453504,283.0,1.716156,0.0,0.0,280.061
2009/06/17 12:00:00,0.0,356.47266513224656,13.51,102178.3,0.004556284192839978,282.03999999999996,1.2283,0.0,0.0,278.792
2009/06/17 13:00:00,0.0,372.78083644924544,147.7,102203.8,0.004463767018934586,285.09999999999997,3.189275,0.0,0.0,283.59999999999997
2009/06/17 14:00:00,0.0,383.1205198881423,349.8,102153.0,0.00466884237715256,286.87,3.228023,0.0,0.0,288.59999999999997
2009/06/17 15:00:00,0.0,393.25600999105865,521.2,102179.2,0.004321192664995906,288.82,3.134736,0.0,0.0,294.09999999999997
2009/06/17 16:00:00,0.0,399.0835725353111,720.2,102151.4,0.0040156382659386385,289.98999999999995,1.715627,0.0,0.0,300.41999999999996
2009/06/17 17:00:00,0.0,403.5579664412882,421.0,102100.2,0.0038904622682601297,290.83,3.060556,0.0,0.0,296.27
2009/06/17 18:00:00,0.0,412.54945347097845,756.7,102108.5,0.004148868969989808,292.21999999999997,6.616181,0.0,0.0,300.91999999999996
2009/06/17 19:00:00,0.0,417.8015258640107,1040.0,102047.5,0.0041154622351790284,293.12,7.66142,0.0,0.0,305.33
2009/06/17 20:00:00,0.0,408.6897706856019,389.7,102003.09999999999,0.0038159831644301472,291.75,5.51103,0.0,0.0,296.16999999999996
2009/06/17 21:00:00,0.0,406.8794070203045,258.8,102016.0,0.004391859775959444,291.14,5.352175,0.0,0.0,293.26
2009/06/17 22:00:00,0.0,409.8909248462245,376.0,101967.6,0.003912696775422361,291.9,6.397521,0.0,0.0,294.46999999999997
2009/06/17 23:00:00,0.0,410.70263904997404,227.3,101974.0,0.004248969794533788,291.85999999999996,6.000584,0.0,0.0,292.71999999999997
2009/06/18 00:00:00,0.0,406.7465533770544,217.0,101910.7,0.002927650454761641,292.02,6.005377,0.0,0.0,291.90999999999997
2009/06/18 01:00:00,0.0,413.09789846797923,322.4,101858.6,0.0032180321869934047,292.88,6.140334,0.0,0.0,293.26
2009/06/18 02:00:00,0.0,412.63326056679415,116.9,101925.2,0.00755620840348077,291.04999999999995,1.72922,0.0,0.0,289.27
2009/06/18 03:00:00,0.0,393.9143368627678,1.91,101891.2,0.006112786916113433,288.23999999999995,0.7647352,0.0,0.0,282.96
2009/06/18 04:00:00,0.0,378.3054782767002,0.003,101921.3,0.004584630000883015,286.04999999999995,0.9511698,0.0,0.0,281.25
2009/06/18 05:00:00,0.0,363.61215253397614,0.0,101959.5,0.005120685207210945,283.14,1.511866,0.0,0.0,282.23999999999995
2009/06/18 06:00:00,0.0,362.296974271442,0.0,101927.09999999999,0.005347164267649781,282.81,2.137599,0.0,0.0,280.75899999999996
2009/06/18 07:00:00,0.0,355.17135534941366,0.0,101935.1,0.005335285166061986,281.47999999999996,1.198663,0.0,0.0,278.86199999999997
2009/06/18 08:00:00,0.0,351.5830960364301,0.0,101923.1,0.0049642570343696475,280.945,1.048023,0.0,0.0,278.359
2009/06/18 09:00:00,0.0,352.7675220731215,0.0,101924.8,0.005121820104845065,281.10699999999997,0.8804178,0.0,0.0,278.45799999999997
2009/06/18 10:00:00,0.0,352.01590628707874,0.0,101842.4,0.005352776015841735,280.878,1.379025,0.0,0.0,279.27
2009/06/18 11:00:00,0.0,340.9076615079186,0.0,101851.70000000001,0.004778527075609807,278.96999999999997,1.668356,0.0,0.0,277.322
